academic_year_code,day_of_week,period_number,start_time,end_time,class_code,section_code,subject_code,teacher_code,room_number,period_type
AY2025-2026,THURSDAY,2,09:45:00,10:30:00,C5,A,ENG101,TCH004,101,REGULAR
AY2025-2026,THURSDAY,3,10:45:00,11:30:00,C5,A,TEL101,TCH006,101,REGULAR
AY2025-2026,THURSDAY,4,11:30:00,12:15:00,C5,A,HIN101,TCH008,101,REGULAR
AY2025-2026,THURSDAY,5,13:00:00,13:45:00,C5,A,SCI101,TCH010,101,REGULAR
AY2025-2026,THURSDAY,6,13:45:00,14:30:00,C5,A,SOC101,TCH012,101,REGULAR
AY2025-2026,FRIDAY,1,09:00:00,09:45:00,C5,A,TEL101,TCH006,101,REGULAR
AY2025-2026,FRIDAY,2,09:45:00,10:30:00,C5,A,HIN101,TCH008,101,REGULAR
AY2025-2026,FRIDAY,3,10:45:00,11:30:00,C5,A,SCI101,TCH010,101,REGULAR
AY2025-2026,FRIDAY,4,11:30:00,12:15:00,C5,A,SOC101,TCH012,101,REGULAR
AY2025-2026,FRIDAY,5,13:00:00,13:45:00,C5,A,MATH101,TCH002,101,REGULAR
AY2025-2026,FRIDAY,6,13:45:00,14:30:00,C5,A,ENG101,TCH004,101,REGULAR
AY2025-2026,MONDAY,1,09:00:00,09:45:00,C5,B,ENG101,TCH004,102,REGULAR
AY2025-2026,MONDAY,2,09:45:00,10:30:00,C5,B,TEL101,TCH006,102,REGULAR
AY2025-2026,MONDAY,3,10:45:00,11:30:00,C5,B,HIN101,TCH008,102,REGULAR
AY2025-2026,MONDAY,4,11:30:00,12:15:00,C5,B,SCI101,TCH010,102,LAB
AY2025-2026,MONDAY,5,13:00:00,13:45:00,C5,B,SOC101,TCH012,102,REGULAR
AY2025-2026,MONDAY,6,13:45:00,14:30:00,C5,B,MATH101,TCH002,102,REGULAR
AY2025-2026,TUESDAY,1,09:00:00,09:45:00,C5,B,HIN101,TCH008,102,REGULAR
AY2025-2026,TUESDAY,2,09:45:00,10:30:00,C5,B,SCI101,TCH010,102,REGULAR
AY2025-2026,TUESDAY,3,10:45:00,11:30:00,C5,B,SOC101,TCH012,102,REGULAR
AY2025-2026,TUESDAY,4,11:30:00,12:15:00,C5,B,MATH101,TCH002,102,REGULAR
AY2025-2026,TUESDAY,5,13:00:00,13:45:00,C5,B,ENG101,TCH004,102,REGULAR
AY2025-2026,TUESDAY,6,13:45:00,14:30:00,C5,B,TEL101,TCH006,102,REGULAR
AY2025-2026,WEDNESDAY,1,09:00:00,09:45:00,C5,B,SOC101,TCH012,102,REGULAR
AY2025-2026,WEDNESDAY,2,09:45:00,10:30:00,C5,B,MATH101,TCH002,102,REGULAR
AY2025-2026,WEDNESDAY,3,10:45:00,11:30:00,C5,B,ENG101,TCH004,102,REGULAR
AY2025-2026,WEDNESDAY,4,11:30:00,12:15:00,C5,B,TEL101,TCH006,102,REGULAR
AY2025-2026,WEDNESDAY,5,13:00:00,13:45:00,C5,B,HIN101,TCH008,102,REGULAR
AY2025-2026,WEDNESDAY,6,13:45:00,14:30:00,C5,B,SCI101,TCH010,102,REGULAR
AY2025-2026,THURSDAY,1,09:00:00,09:45:00,C5,B,ENG101,TCH004,102,REGULAR
AY2025-2026,THURSDAY,2,09:45:00,10:30:00,C5,B,TEL101,TCH006,102,REGULAR
AY2025-2026,THURSDAY,3,10:45:00,11:30:00,C5,B,HIN101,TCH008,102,REGULAR
AY2025-2026,THURSDAY,4,11:30:00,12:15:00,C5,B,SCI101,TCH010,102,LAB
AY2025-2026,THURSDAY,5,13:00:00,13:45:00,C5,B,SOC101,TCH012,102,REGULAR
AY2025-2026,THURSDAY,6,13:45:00,14:30:00,C5,B,MATH101,TCH002,102,REGULAR
AY2025-2026,FRIDAY,1,09:00:00,09:45:00,C5,B,HIN101,TCH008,102,REGULAR
AY2025-2026,FRIDAY,2,09:45:00,10:30:00,C5,B,SCI101,TCH010,102,REGULAR
AY2025-2026,FRIDAY,3,10:45:00,11:30:00,C5,B,SOC101,TCH012,102,REGULAR
AY2025-2026,FRIDAY,4,11:30:00,12:15:00,C5,B,MATH101,TCH002,102,REGULAR
AY2025-2026,FRIDAY,5,13:00:00,13:45:00,C5,B,ENG101,TCH004,102,REGULAR
AY2025-2026,FRIDAY,6,13:45:00,14:30:00,C5,B,TEL101,TCH006,102,REGULAR
AY2025-2026,MONDAY,1,09:00:00,09:45:00,C6,A,TEL101,TCH006,103,REGULAR
AY2025-2026,MONDAY,2,09:45:00,10:30:00,C6,A,HIN101,TCH008,103,REGULAR
AY2025-2026,MONDAY,3,10:45:00,11:30:00,C6,A,SCI101,TCH010,103,REGULAR
AY2025-2026,MONDAY,4,11:30:00,12:15:00,C6,A,SOC101,TCH012,103,REGULAR
AY2025-2026,MONDAY,5,13:00:00,13:45:00,C6,A,MATH101,TCH002,103,REGULAR
AY2025-2026,MONDAY,6,13:45:00,14:30:00,C6,A,ENG101,TCH004,103,REGULAR
AY2025-2026,TUESDAY,1,09:00:00,09:45:00,C6,A,SCI101,TCH010,103,REGULAR
AY2025-2026,TUESDAY,2,09:45:00,10:30:00,C6,A,SOC101,TCH012,103,REGULAR
AY2025-2026,TUESDAY,3,10:45:00,11:30:00,C6,A,MATH101,TCH002,103,REGULAR
AY2025-2026,TUESDAY,4,11:30:00,12:15:00,C6,A,ENG101,TCH004,103,REGULAR
AY2025-2026,TUESDAY,5,13:00:00,13:45:00,C6,A,TEL101,TCH006,103,REGULAR
AY2025-2026,TUESDAY,6,13:45:00,14:30:00,C6,A,HIN101,TCH008,103,REGULAR
AY2025-2026,WEDNESDAY,1,09:00:00,09:45:00,C6,A,MATH101,TCH002,103,REGULAR
AY2025-2026,WEDNESDAY,2,09:45:00,10:30:00,C6,A,ENG101,TCH004,103,REGULAR
AY2025-2026,WEDNESDAY,3,10:45:00,11:30:00,C6,A,TEL101,TCH006,103,REGULAR
AY2025-2026,WEDNESDAY,4,11:30:00,12:15:00,C6,A,HIN101,TCH008,103,REGULAR
AY2025-2026,WEDNESDAY,5,13:00:00,13:45:00,C6,A,SCI101,TCH010,103,REGULAR
AY2025-2026,WEDNESDAY,6,13:45:00,14:30:00,C6,A,SOC101,TCH012,103,REGULAR
AY2025-2026,THURSDAY,1,09:00:00,09:45:00,C6,A,TEL101,TCH006,103,REGULAR
AY2025-2026,THURSDAY,2,09:45:00,10:30:00,C6,A,HIN101,TCH008,103,REGULAR
AY2025-2026,THURSDAY,3,10:45:00,11:30:00,C6,A,SCI101,TCH010,103,REGULAR
AY2025-2026,THURSDAY,4,11:30:00,12:15:00,C6,A,SOC101,TCH012,103,REGULAR
AY2025-2026,THURSDAY,5,13:00:00,13:45:00,C6,A,MATH101,TCH002,103,REGULAR
AY2025-2026,THURSDAY,6,13:45:00,14:30:00,C6,A,ENG101,TCH004,103,REGULAR
AY2025-2026,FRIDAY,1,09:00:00,09:45:00,C6,A,SCI101,TCH010,103,REGULAR
AY2025-2026,FRIDAY,2,09:45:00,10:30:00,C6,A,SOC101,TCH012,103,REGULAR
AY2025-2026,FRIDAY,3,10:45:00,11:30:00,C6,A,MATH101,TCH002,103,REGULAR
AY2025-2026,FRIDAY,4,11:30:00,12:15:00,C6,A,ENG101,TCH004,103,REGULAR
AY2025-2026,FRIDAY,5,13:00:00,13:45:00,C6,A,TEL101,TCH006,103,REGULAR
AY2025-2026,FRIDAY,6,13:45:00,14:30:00,C6,A,HIN101,TCH008,103,REGULAR
AY2025-2026,MONDAY,1,09:00:00,09:45:00,C6,B,HIN101,TCH008,104,REGULAR
AY2025-2026,MONDAY,2,09:45:00,10:30:00,C6,B,SCI101,TCH010,104,REGULAR
AY2025-2026,MONDAY,3,10:45:00,11:30:00,C6,B,SOC101,TCH012,104,REGULAR
AY2025-2026,MONDAY,4,11:30:00,12:15:00,C6,B,MATH101,TCH002,104,REGULAR
AY2025-2026,MONDAY,5,13:00:00,13:45:00,C6,B,ENG101,TCH004,104,REGULAR
AY2025-2026,MONDAY,6,13:45:00,14:30:00,C6,B,TEL101,TCH006,104,REGULAR
AY2025-2026,TUESDAY,1,09:00:00,09:45:00,C6,B,SOC101,TCH012,104,REGULAR
AY2025-2026,TUESDAY,2,09:45:00,10:30:00,C6,B,MATH101,TCH002,104,REGULAR
AY2025-2026,TUESDAY,3,10:45:00,11:30:00,C6,B,ENG101,TCH004,104,REGULAR
AY2025-2026,TUESDAY,4,11:30:00,12:15:00,C6,B,TEL101,TCH006,104,REGULAR
AY2025-2026,TUESDAY,5,13:00:00,13:45:00,C6,B,HIN101,TCH008,104,REGULAR
AY2025-2026,TUESDAY,6,13:45:00,14:30:00,C6,B,SCI101,TCH010,104,REGULAR
AY2025-2026,WEDNESDAY,1,09:00:00,09:45:00,C6,B,ENG101,TCH004,104,REGULAR
AY2025-2026,WEDNESDAY,2,09:45:00,10:30:00,C6,B,TEL101,TCH006,104,REGULAR
AY2025-2026,WEDNESDAY,3,10:45:00,11:30:00,C6,B,HIN101,TCH008,104,REGULAR
AY2025-2026,WEDNESDAY,4,11:30:00,12:15:00,C6,B,SCI101,TCH010,104,LAB
AY2025-2026,WEDNESDAY,5,13:00:00,13:45:00,C6,B,SOC101,TCH012,104,REGULAR
AY2025-2026,WEDNESDAY,6,13:45:00,14:30:00,C6,B,MATH101,TCH002,104,REGULAR
AY2025-2026,THURSDAY,1,09:00:00,09:45:00,C6,B,HIN101,TCH008,104,REGULAR
AY2025-2026,THURSDAY,2,09:45:00,10:30:00,C6,B,SCI101,TCH010,104,REGULAR
AY2025-2026,THURSDAY,3,10:45:00,11:30:00,C6,B,SOC101,TCH012,104,REGULAR
AY2025-2026,THURSDAY,4,11:30:00,12:15:00,C6,B,MATH101,TCH002,104,REGULAR
AY2025-2026,THURSDAY,5,13:00:00,13:45:00,C6,B,ENG101,TCH004,104,REGULAR
AY2025-2026,THURSDAY,6,13:45:00,14:30:00,C6,B,TEL101,TCH006,104,REGULAR
AY2025-2026,FRIDAY,1,09:00:00,09:45:00,C6,B,SOC101,TCH012,104,REGULAR
AY2025-2026,FRIDAY,2,09:45:00,10:30:00,C6,B,MATH101,TCH002,104,REGULAR
AY2025-2026,FRIDAY,3,10:45:00,11:30:00,C6,B,ENG101,TCH004,104,REGULAR
AY2025-2026,FRIDAY,4,11:30:00,12:15:00,C6,B,TEL101,TCH006,104,REGULAR
AY2025-2026,FRIDAY,5,13:00:00,13:45:00,C6,B,HIN101,TCH008,104,REGULAR
AY2025-2026,FRIDAY,6,13:45:00,14:30:00,C6,B,SCI101,TCH010,104,REGULAR
AY2025-2026,MONDAY,1,09:00:00,09:45:00,C7,A,SCI101,TCH011,105,REGULAR
AY2025-2026,MONDAY,2,09:45:00,10:30:00,C7,A,SOC101,TCH013,105,REGULAR
AY2025-2026,MONDAY,3,10:45:00,11:30:00,C7,A,MATH101,TCH003,105,REGULAR
AY2025-2026,MONDAY,4,11:30:00,12:15:00,C7,A,ENG101,TCH005,105,REGULAR
AY2025-2026,MONDAY,5,13:00:00,13:45:00,C7,A,TEL101,TCH007,105,REGULAR
AY2025-2026,MONDAY,6,13:45:00,14:30:00,C7,A,HIN101,TCH009,105,REGULAR
AY2025-2026,TUESDAY,1,09:00:00,09:45:00,C7,A,MATH101,TCH003,105,REGULAR
AY2025-2026,TUESDAY,2,09:45:00,10:30:00,C7,A,ENG101,TCH005,105,REGULAR
AY2025-2026,TUESDAY,3,10:45:00,11:30:00,C7,A,TEL101,TCH007,105,REGULAR
AY2025-2026,TUESDAY,4,11:30:00,12:15:00,C7,A,HIN101,TCH009,105,REGULAR
AY2025-2026,TUESDAY,5,13:00:00,13:45:00,C7,A,SCI101,TCH011,105,REGULAR
AY2025-2026,TUESDAY,6,13:45:00,14:30:00,C7,A,SOC101,TCH013,105,REGULAR
AY2025-2026,WEDNESDAY,1,09:00:00,09:45:00,C7,A,TEL101,TCH007,105,REGULAR
AY2025-2026,WEDNESDAY,2,09:45:00,10:30:00,C7,A,HIN101,TCH009,105,REGULAR
AY2025-2026,WEDNESDAY,3,10:45:00,11:30:00,C7,A,SCI101,TCH011,105,REGULAR
AY2025-2026,WEDNESDAY,4,11:30:00,12:15:00,C7,A,SOC101,TCH013,105,REGULAR
AY2025-2026,WEDNESDAY,5,13:00:00,13:45:00,C7,A,MATH101,TCH003,105,REGULAR
AY2025-2026,WEDNESDAY,6,13:45:00,14:30:00,C7,A,ENG101,TCH005,105,REGULAR
AY2025-2026,THURSDAY,1,09:00:00,09:45:00,C7,A,SCI101,TCH011,105,REGULAR
AY2025-2026,THURSDAY,2,09:45:00,10:30:00,C7,A,SOC101,TCH013,105,REGULAR
AY2025-2026,THURSDAY,3,10:45:00,11:30:00,C7,A,MATH101,TCH003,105,REGULAR
AY2025-2026,THURSDAY,4,11:30:00,12:15:00,C7,A,ENG101,TCH005,105,REGULAR
AY2025-2026,THURSDAY,5,13:00:00,13:45:00,C7,A,TEL101,TCH007,105,REGULAR
AY2025-2026,THURSDAY,6,13:45:00,14:30:00,C7,A,HIN101,TCH009,105,REGULAR
AY2025-2026,FRIDAY,1,09:00:00,09:45:00,C7,A,MATH101,TCH003,105,REGULAR
AY2025-2026,FRIDAY,2,09:45:00,10:30:00,C7,A,ENG101,TCH005,105,REGULAR
AY2025-2026,FRIDAY,3,10:45:00,11:30:00,C7,A,TEL101,TCH007,105,REGULAR
AY2025-2026,FRIDAY,4,11:30:00,12:15:00,C7,A,HIN101,TCH009,105,REGULAR
AY2025-2026,FRIDAY,5,13:00:00,13:45:00,C7,A,SCI101,TCH011,105,REGULAR
AY2025-2026,FRIDAY,6,13:45:00,14:30:00,C7,A,SOC101,TCH013,105,REGULAR
AY2025-2026,MONDAY,1,09:00:00,09:45:00,C7,B,SOC101,TCH013,106,REGULAR
AY2025-2026,MONDAY,2,09:45:00,10:30:00,C7,B,MATH101,TCH003,106,REGULAR
AY2025-2026,MONDAY,3,10:45:00,11:30:00,C7,B,ENG101,TCH005,106,REGULAR
AY2025-2026,MONDAY,4,11:30:00,12:15:00,C7,B,TEL101,TCH007,106,REGULAR
AY2025-2026,MONDAY,5,13:00:00,13:45:00,C7,B,HIN101,TCH009,106,REGULAR
AY2025-2026,MONDAY,6,13:45:00,14:30:00,C7,B,SCI101,TCH011,106,REGULAR
AY2025-2026,TUESDAY,1,09:00:00,09:45:00,C7,B,ENG101,TCH005,106,REGULAR
AY2025-2026,TUESDAY,2,09:45:00,10:30:00,C7,B,TEL101,TCH007,106,REGULAR
AY2025-2026,TUESDAY,3,10:45:00,11:30:00,C7,B,HIN101,TCH009,106,REGULAR
AY2025-2026,TUESDAY,4,11:30:00,12:15:00,C7,B,SCI101,TCH011,106,LAB
AY2025-2026,TUESDAY,5,13:00:00,13:45:00,C7,B,SOC101,TCH013,106,REGULAR
AY2025-2026,TUESDAY,6,13:45:00,14:30:00,C7,B,MATH101,TCH003,106,REGULAR
AY2025-2026,WEDNESDAY,1,09:00:00,09:45:00,C7,B,HIN101,TCH009,106,REGULAR
AY2025-2026,WEDNESDAY,2,09:45:00,10:30:00,C7,B,SCI101,TCH011,106,REGULAR
AY2025-2026,WEDNESDAY,3,10:45:00,11:30:00,C7,B,SOC101,TCH013,106,REGULAR
AY2025-2026,WEDNESDAY,4,11:30:00,12:15:00,C7,B,MATH101,TCH003,106,REGULAR
AY2025-2026,WEDNESDAY,5,13:00:00,13:45:00,C7,B,ENG101,TCH005,106,REGULAR
AY2025-2026,WEDNESDAY,6,13:45:00,14:30:00,C7,B,TEL101,TCH007,106,REGULAR
AY2025-2026,THURSDAY,1,09:00:00,09:45:00,C7,B,SOC101,TCH013,106,REGULAR
AY2025-2026,THURSDAY,2,09:45:00,10:30:00,C7,B,MATH101,TCH003,106,REGULAR
AY2025-2026,THURSDAY,3,10:45:00,11:30:00,C7,B,ENG101,TCH005,106,REGULAR
AY2025-2026,THURSDAY,4,11:30:00,12:15:00,C7,B,TEL101,TCH007,106,REGULAR
AY2025-2026,THURSDAY,5,13:00:00,13:45:00,C7,B,HIN101,TCH009,106,REGULAR
AY2025-2026,THURSDAY,6,13:45:00,14:30:00,C7,B,SCI101,TCH011,106,REGULAR
AY2025-2026,FRIDAY,1,09:00:00,09:45:00,C7,B,ENG101,TCH005,106,REGULAR
AY2025-2026,FRIDAY,2,09:45:00,10:30:00,C7,B,TEL101,TCH007,106,REGULAR
AY2025-2026,FRIDAY,3,10:45:00,11:30:00,C7,B,HIN101,TCH009,106,REGULAR
AY2025-2026,FRIDAY,4,11:30:00,12:15:00,C7,B,SCI101,TCH011,106,LAB
AY2025-2026,FRIDAY,5,13:00:00,13:45:00,C7,B,SOC101,TCH013,106,REGULAR
AY2025-2026,FRIDAY,6,13:45:00,14:30:00,C7,B,MATH101,TCH003,106,REGULAR
AY2025-2026,MONDAY,1,09:00:00,09:45:00,C8,A,MATH101,TCH003,107,REGULAR
AY2025-2026,MONDAY,2,09:45:00,10:30:00,C8,A,ENG101,TCH005,107,REGULAR
AY2025-2026,MONDAY,3,10:45:00,11:30:00,C8,A,TEL101,TCH007,107,REGULAR
AY2025-2026,MONDAY,4,11:30:00,12:15:00,C8,A,HIN101,TCH009,107,REGULAR
AY2025-2026,MONDAY,5,13:00:00,13:45:00,C8,A,SCI101,TCH011,107,REGULAR
AY2025-2026,MONDAY,6,13:45:00,14:30:00,C8,A,SOC101,TCH013,107,REGULAR
AY2025-2026,TUESDAY,1,09:00:00,09:45:00,C8,A,TEL101,TCH007,107,REGULAR
AY2025-2026,TUESDAY,2,09:45:00,10:30:00,C8,A,HIN101,TCH009,107,REGULAR
AY2025-2026,TUESDAY,3,10:45:00,11:30:00,C8,A,SCI101,TCH011,107,REGULAR
AY2025-2026,TUESDAY,4,11:30:00,12:15:00,C8,A,SOC101,TCH013,107,REGULAR
AY2025-2026,TUESDAY,5,13:00:00,13:45:00,C8,A,MATH101,TCH003,107,REGULAR
AY2025-2026,TUESDAY,6,13:45:00,14:30:00,C8,A,ENG101,TCH005,107,REGULAR
AY2025-2026,WEDNESDAY,1,09:00:00,09:45:00,C8,A,SCI101,TCH011,107,REGULAR
AY2025-2026,WEDNESDAY,2,09:45:00,10:30:00,C8,A,SOC101,TCH013,107,REGULAR
AY2025-2026,WEDNESDAY,3,10:45:00,11:30:00,C8,A,MATH101,TCH003,107,REGULAR
AY2025-2026,WEDNESDAY,4,11:30:00,12:15:00,C8,A,ENG101,TCH005,107,REGULAR
AY2025-2026,WEDNESDAY,5,13:00:00,13:45:00,C8,A,TEL101,TCH007,107,REGULAR
AY2025-2026,WEDNESDAY,6,13:45:00,14:30:00,C8,A,HIN101,TCH009,107,REGULAR
AY2025-2026,THURSDAY,1,09:00:00,09:45:00,C8,A,MATH101,TCH003,107,REGULAR
AY2025-2026,THURSDAY,2,09:45:00,10:30:00,C8,A,ENG101,TCH005,107,REGULAR
AY2025-2026,THURSDAY,3,10:45:00,11:30:00,C8,A,TEL101,TCH007,107,REGULAR
AY2025-2026,THURSDAY,4,11:30:00,12:15:00,C8,A,HIN101,TCH009,107,REGULAR
AY2025-2026,THURSDAY,5,13:00:00,13:45:00,C8,A,SCI101,TCH011,107,REGULAR
AY2025-2026,THURSDAY,6,13:45:00,14:30:00,C8,A,SOC101,TCH013,107,REGULAR
AY2025-2026,FRIDAY,1,09:00:00,09:45:00,C8,A,TEL101,TCH007,107,REGULAR
AY2025-2026,FRIDAY,2,09:45:00,10:30:00,C8,A,HIN101,TCH009,107,REGULAR
AY2025-2026,FRIDAY,3,10:45:00,11:30:00,C8,A,SCI101,TCH011,107,REGULAR
AY2025-2026,FRIDAY,4,11:30:00,12:15:00,C8,A,SOC101,TCH013,107,REGULAR
AY2025-2026,FRIDAY,5,13:00:00,13:45:00,C8,A,MATH101,TCH003,107,REGULAR
AY2025-2026,FRIDAY,6,13:45:00,14:30:00,C8,A,ENG101,TCH005,107,REGULAR
AY2025-2026,MONDAY,1,09:00:00,09:45:00,C8,B,ENG101,TCH005,108,REGULAR
AY2025-2026,MONDAY,2,09:45:00,10:30:00,C8,B,TEL101,TCH007,108,REGULAR
AY2025-2026,MONDAY,3,10:45:00,11:30:00,C8,B,HIN101,TCH009,108,REGULAR
AY2025-2026,MONDAY,4,11:30:00,12:15:00,C8,B,SCI101,TCH011,108,LAB
AY2025-2026,MONDAY,5,13:00:00,13:45:00,C8,B,SOC101,TCH013,108,REGULAR
AY2025-2026,MONDAY,6,13:45:00,14:30:00,C8,B,MATH101,TCH003,108,REGULAR
AY2025-2026,TUESDAY,1,09:00:00,09:45:00,C8,B,HIN101,TCH009,108,REGULAR
AY2025-2026,TUESDAY,2,09:45:00,10:30:00,C8,B,SCI101,TCH011,108,REGULAR
AY2025-2026,TUESDAY,3,10:45:00,11:30:00,C8,B,SOC101,TCH013,108,REGULAR
AY2025-2026,TUESDAY,4,11:30:00,12:15:00,C8,B,MATH101,TCH003,108,REGULAR
AY2025-2026,TUESDAY,5,13:00:00,13:45:00,C8,B,ENG101,TCH005,108,REGULAR
AY2025-2026,TUESDAY,6,13:45:00,14:30:00,C8,B,TEL101,TCH007,108,REGULAR
AY2025-2026,WEDNESDAY,1,09:00:00,09:45:00,C8,B,SOC101,TCH013,108,REGULAR
AY2025-2026,WEDNESDAY,2,09:45:00,10:30:00,C8,B,MATH101,TCH003,108,REGULAR
AY2025-2026,WEDNESDAY,3,10:45:00,11:30:00,C8,B,ENG101,TCH005,108,REGULAR
AY2025-2026,WEDNESDAY,4,11:30:00,12:15:00,C8,B,TEL101,TCH007,108,REGULAR
AY2025-2026,WEDNESDAY,5,13:00:00,13:45:00,C8,B,HIN101,TCH009,108,REGULAR
AY2025-2026,WEDNESDAY,6,13:45:00,14:30:00,C8,B,SCI101,TCH011,108,REGULAR
AY2025-2026,THURSDAY,1,09:00:00,09:45:00,C8,B,ENG101,TCH005,108,REGULAR
AY2025-2026,THURSDAY,2,09:45:00,10:30:00,C8,B,TEL101,TCH007,108,REGULAR
AY2025-2026,THURSDAY,3,10:45:00,11:30:00,C8,B,HIN101,TCH009,108,REGULAR
AY2025-2026,THURSDAY,4,11:30:00,12:15:00,C8,B,SCI101,TCH011,108,LAB
AY2025-2026,THURSDAY,5,13:00:00,13:45:00,C8,B,SOC101,TCH013,108,REGULAR
AY2025-2026,THURSDAY,6,13:45:00,14:30:00,C8,B,MATH101,TCH003,108,REGULAR
AY2025-2026,FRIDAY,1,09:00:00,09:45:00,C8,B,HIN101,TCH009,108,REGULAR
AY2025-2026,FRIDAY,2,09:45:00,10:30:00,C8,B,SCI101,TCH011,108,REGULAR
AY2025-2026,FRIDAY,3,10:45:00,11:30:00,C8,B,SOC101,TCH013,108,REGULAR
AY2025-2026,FRIDAY,4,11:30:00,12:15:00,C8,B,MATH101,TCH003,108,REGULAR
AY2025-2026,FRIDAY,5,13:00:00,13:45:00,C8,B,ENG101,TCH005,108,REGULAR
AY2025-2026,FRIDAY,6,13:45:00,14:30:00,C8,B,TEL101,TCH007,108,REGULAR
AY2025-2026,MONDAY,1,09:00:00,09:45:00,C9,A,TEL101,TCH018,109,REGULAR
AY2025-2026,MONDAY,2,09:45:00,10:30:00,C9,A,HIN101,TCH001,109,REGULAR
AY2025-2026,MONDAY,3,10:45:00,11:30:00,C9,A,SCI101,TCH014,109,REGULAR
AY2025-2026,MONDAY,4,11:30:00,12:15:00,C9,A,SOC101,TCH015,109,REGULAR
AY2025-2026,MONDAY,5,13:00:00,13:45:00,C9,A,MATH101,TCH016,109,REGULAR
AY2025-2026,MONDAY,6,13:45:00,14:30:00,C9,A,ENG101,TCH017,109,REGULAR
AY2025-2026,TUESDAY,1,09:00:00,09:45:00,C9,A,SCI101,TCH014,109,REGULAR
AY2025-2026,TUESDAY,2,09:45:00,10:30:00,C9,A,SOC101,TCH015,109,REGULAR
AY2025-2026,TUESDAY,3,10:45:00,11:30:00,C9,A,MATH101,TCH016,109,REGULAR
AY2025-2026,TUESDAY,4,11:30:00,12:15:00,C9,A,ENG101,TCH017,109,REGULAR
AY2025-2026,TUESDAY,5,13:00:00,13:45:00,C9,A,TEL101,TCH018,109,REGULAR
AY2025-2026,TUESDAY,6,13:45:00,14:30:00,C9,A,HIN101,TCH001,109,REGULAR
AY2025-2026,WEDNESDAY,1,09:00:00,09:45:00,C9,A,MATH101,TCH016,109,REGULAR
AY2025-2026,WEDNESDAY,2,09:45:00,10:30:00,C9,A,ENG101,TCH017,109,REGULAR
AY2025-2026,WEDNESDAY,3,10:45:00,11:30:00,C9,A,TEL101,TCH018,109,REGULAR
AY2025-2026,WEDNESDAY,4,11:30:00,12:15:00,C9,A,HIN101,TCH001,109,REGULAR
AY2025-2026,WEDNESDAY,5,13:00:00,13:45:00,C9,A,SCI101,TCH014,109,REGULAR
AY2025-2026,WEDNESDAY,6,13:45:00,14:30:00,C9,A,SOC101,TCH015,109,REGULAR
AY2025-2026,THURSDAY,1,09:00:00,09:45:00,C9,A,TEL101,TCH018,109,REGULAR
AY2025-2026,THURSDAY,2,09:45:00,10:30:00,C9,A,HIN101,TCH001,109,REGULAR
AY2025-2026,THURSDAY,3,10:45:00,11:30:00,C9,A,SCI101,TCH014,109,REGULAR
AY2025-2026,THURSDAY,4,11:30:00,12:15:00,C9,A,SOC101,TCH015,109,REGULAR
AY2025-2026,THURSDAY,5,13:00:00,13:45:00,C9,A,MATH101,TCH016,109,REGULAR
AY2025-2026,THURSDAY,6,13:45:00,14:30:00,C9,A,ENG101,TCH017,109,REGULAR
AY2025-2026,FRIDAY,1,09:00:00,09:45:00,C9,A,SCI101,TCH014,109,REGULAR
AY2025-2026,FRIDAY,2,09:45:00,10:30:00,C9,A,SOC101,TCH015,109,REGULAR
