admission_number,guardian_code,relationship,is_primary,authorized_for_pickup,receives_notifications
ADM2025093,GRD093,MOTHER,true,true,true
ADM2025094,GRD094,FATHER,true,true,true
ADM2025095,GRD095,FATHER,true,true,true
ADM2025096,GRD096,MOTHER,true,true,true
ADM2025097,GRD097,FATHER,true,true,true
ADM2025098,GRD098,FATHER,true,true,true
ADM2025099,GRD099,MOTHER,true,true,true
ADM2025100,GRD100,FATHER,true,true,true
ADM2025101,GRD101,FATHER,true,true,true
ADM2025102,GRD102,MOTHER,true,true,true
ADM2025103,GRD103,FATHER,true,true,true
ADM2025104,GRD104,FATHER,true,true,true
ADM2025105,GRD105,MOTHER,true,true,true
ADM2025106,GRD106,FATHER,true,true,true
ADM2025107,GRD107,FATHER,true,true,true
ADM2025108,GRD108,MOTHER,true,true,true
ADM2025109,GRD109,FATHER,true,true,true
ADM2025110,GRD110,FATHER,true,true,true
ADM2025111,GRD111,MOTHER,true,true,true
ADM2025112,GRD112,FATHER,true,true,true
ADM2025113,GRD113,FATHER,true,true,true
ADM2025114,GRD114,MOTHER,true,true,true
ADM2025115,GRD115,FATHER,true,true,true
ADM2025116,GRD116,FATHER,true,true,true
ADM2025117,GRD117,MOTHER,true,true,true
ADM2025118,GRD118,FATHER,true,true,true
ADM2025119,GRD119,FATHER,true,true,true
ADM2025120,GRD120,MOTHER,true,true,true
ADM2025121,GRD121,FATHER,true,true,true
ADM2025122,GRD122,FATHER,true,true,true
ADM2025123,GRD123,MOTHER,true,true,true
ADM2025124,GRD124,FATHER,true,true,true
ADM2025125,GRD125,FATHER,true,true,true
ADM2025126,GRD126,MOTHER,true,true,true
ADM2025127,GRD127,FATHER,true,true,true
ADM2025128,GRD128,FATHER,true,true,true
ADM2025129,GRD129,MOTHER,true,true,true
ADM2025130,GRD130,FATHER,true,true,true
ADM2025131,GRD131,FATHER,true,true,true
ADM2025132,GRD132,MOTHER,true,true,true
ADM2025133,GRD133,FATHER,true,true,true
ADM2025134,GRD134,FATHER,true,true,true
ADM2025135,GRD135,MOTHER,true,true,true
ADM2025136,GRD136,FATHER,true,true,true
ADM2025137,GRD137,FATHER,true,true,true
ADM2025138,GRD138,MOTHER,true,true,true
ADM2025139,GRD139,FATHER,true,true,true
ADM2025140,GRD140,FATHER,true,true,true
ADM2025141,GRD141,MOTHER,true,true,true
ADM2025142,GRD142,FATHER,true,true,true
ADM2025143,GRD143,FATHER,true,true,true
ADM2025144,GRD144,MOTHER,true,true,true
ADM2025145,GRD145,FATHER,true,true,true
ADM2025146,GRD146,FATHER,true,true,true
ADM2025147,GRD147,MOTHER,true,true,true
ADM2025148,GRD148,FATHER,true,true,true
ADM2025149,GRD149,FATHER,true,true,true
ADM2025150,GRD150,MOTHER,true,true,true
ADM2025151,GRD151,FATHER,true,true,true
ADM2025152,GRD152,FATHER,true,true,true
ADM2025153,GRD153,MOTHER,true,true,true
ADM2025154,GRD154,FATHER,true,true,true
ADM2025155,GRD155,FATHER,true,true,true
ADM2025156,GRD156,MOTHER,true,true,true
ADM2025157,GRD157,FATHER,true,true,true
ADM2025158,GRD158,FATHER,true,true,true
ADM2025159,GRD159,MOTHER,true,true,true
ADM2025160,GRD160,FATHER,true,true,true
ADM2025161,GRD161,FATHER,true,true,true
ADM2025162,GRD162,MOTHER,true,true,true
ADM2025163,GRD163,FATHER,true,true,true
ADM2025164,GRD164,FATHER,true,true,true
ADM2025165,GRD165,MOTHER,true,true,true
ADM2025166,GRD166,FATHER,true,true,true
ADM2025167,GRD167,FATHER,true,true,true
ADM2025168,GRD168,MOTHER,true,true,true
ADM2025169,GRD169,FATHER,true,true,true
ADM2025170,GRD170,FATHER,true,true,true
ADM2025171,GRD171,MOTHER,true,true,true
ADM2025172,GRD172,FATHER,true,true,true
ADM2025173,GRD173,FATHER,true,true,true
ADM2025174,GRD174,MOTHER,true,true,true
ADM2025175,GRD175,FATHER,true,true,true
ADM2025176,GRD176,FATHER,true,true,true
ADM2025177,GRD177,MOTHER,true,true,true
ADM2025178,GRD178,FATHER,true,true,true
ADM2025179,GRD179,FATHER,true,true,true
ADM2025180,GRD180,MOTHER,true,true,true
ADM2025181,GRD181,FATHER,true,true,true
ADM2025182,GRD182,FATHER,true,true,true
ADM2025183,GRD183,MOTHER,true,true,true
ADM2025184,GRD184,FATHER,true,true,true
ADM2025185,GRD185,FATHER,true,true,true
ADM2025186,GRD186,MOTHER,true,true,true
ADM2025187,GRD187,FATHER,true,true,true
ADM2025188,GRD188,FATHER,true,true,true
ADM2025189,GRD189,MOTHER,true,true,true
ADM2025190,GRD190,FATHER,true,true,true
ADM2025191,GRD191,FATHER,true,true,true
ADM2025192,GRD192,MOTHER,true,true,true
ADM2025193,GRD193,FATHER,true,true,true
ADM2025194,GRD194,FATHER,true,true,true
ADM2025195,GRD195,MOTHER,true,true,true
ADM2025196,GRD196,FATHER,true,true,true
ADM2025197,GRD197,FATHER,true,true,true
ADM2025198,GRD198,MOTHER,true,true,true
ADM2025199,GRD199,FATHER,true,true,true
ADM2025200,GRD200,FATHER,true,true,true
ADM2025201,GRD201,MOTHER,true,true,true
ADM2025202,GRD202,FATHER,true,true,true
ADM2025203,GRD203,FATHER,true,true,true
ADM2025204,GRD204,MOTHER,true,true,true
ADM2025205,GRD205,FATHER,true,true,true
ADM2025206,GRD206,FATHER,true,true,true
ADM2025207,GRD207,MOTHER,true,true,true
ADM2025208,GRD208,FATHER,true,true,true
ADM2025209,GRD209,FATHER,true,true,true
ADM2025210,GRD210,MOTHER,true,true,true
ADM2025211,GRD211,FATHER,true,true,true
ADM2025212,GRD212,FATHER,true,true,true
ADM2025213,GRD213,MOTHER,true,true,true
ADM2025214,GRD214,FATHER,true,true,true
ADM2025215,GRD215,FATHER,true,true,true
ADM2025216,GRD216,MOTHER,true,true,true
ADM2025217,GRD217,FATHER,true,true,true
ADM2025218,GRD218,FATHER,true,true,true
ADM2025219,GRD219,MOTHER,true,true,true
ADM2025220,GRD220,FATHER,true,true,true
ADM2025221,GRD221,FATHER,true,true,true
ADM2025222,GRD222,MOTHER,true,true,true
ADM2025223,GRD223,FATHER,true,true,true
ADM2025224,GRD224,FATHER,true,true,true
ADM2025225,GRD225,MOTHER,true,true,true
ADM2025226,GRD226,FATHER,true,true,true
ADM2025227,GRD227,FATHER,true,true,true
ADM2025228,GRD228,MOTHER,true,true,true
ADM2025229,GRD229,FATHER,true,true,true
ADM2025230,GRD230,FATHER,true,true,true
ADM2025231,GRD231,MOTHER,true,true,true
ADM2025232,GRD232,FATHER,true,true,true
ADM2025233,GRD233,FATHER,true,true,true
ADM2025234,GRD234,MOTHER,true,true,true
ADM2025235,GRD235,FATHER,true,true,true
ADM2025236,GRD236,FATHER,true,true,true
ADM2025237,GRD237,MOTHER,true,true,true
ADM2025238,GRD238,FATHER,true,true,true
ADM2025239,GRD239,FATHER,true,true,true
ADM2025240,GRD240,MOTHER,true,true,true
ADM2025241,GRD241,FATHER,true,true,true
ADM2025242,GRD242,FATHER,true,true,true
ADM2025243,GRD243,MOTHER,true,true,true
ADM2025244,GRD244,FATHER,true,true,true
ADM2025245,GRD245,FATHER,true,true,true
ADM2025246,GRD246,MOTHER,true,true,true
ADM2025247,GRD247,FATHER,true,true,true
ADM2025248,GRD248,FATHER,true,true,true
ADM2025249,GRD249,MOTHER,true,true,true
ADM2025250,GRD250,FATHER,true,true,true
ADM2025251,GRD251,FATHER,true,true,true
ADM2025252,GRD252,MOTHER,true,true,true
ADM2025253,GRD253,FATHER,true,true,true
ADM2025254,GRD254,FATHER,true,true,true
ADM2025255,GRD255,MOTHER,true,true,true
ADM2025256,GRD256,FATHER,true,true,true
ADM2025257,GRD257,FATHER,true,true,true
ADM2025258,GRD258,MOTHER,true,true,true
ADM2025259,GRD259,FATHER,true,true,true
ADM2025260,GRD260,FATHER,true,true,true
ADM2025261,GRD261,MOTHER,true,true,true
ADM2025262,GRD262,FATHER,true,true,true
ADM2025263,GRD263,FATHER,true,true,true
ADM2025264,GRD264,MOTHER,true,true,true
ADM2025265,GRD265,FATHER,true,true,true
ADM2025266,GRD266,FATHER,true,true,true
ADM2025267,GRD267,MOTHER,true,true,true
ADM2025268,GRD268,FATHER,true,true,true
ADM2025269,GRD269,FATHER,true,true,true
ADM2025270,GRD270,MOTHER,true,true,true
ADM2025271,GRD271,FATHER,true,true,true
ADM2025272,GRD272,FATHER,true,true,true
ADM2025273,GRD273,MOTHER,true,true,true
ADM2025274,GRD274,FATHER,true,true,true
ADM2025275,GRD275,FATHER,true,true,true
ADM2025276,GRD276,MOTHER,true,true,true
ADM2025277,GRD277,FATHER,true,true,true
ADM2025278,GRD278,FATHER,true,true,true
ADM2025279,GRD279,MOTHER,true,true,true
ADM2025280,GRD280,FATHER,true,true,true
ADM2025281,GRD281,FATHER,true,true,true
ADM2025282,GRD282,MOTHER,true,true,true
ADM2025283,GRD283,FATHER,true,true,true
ADM2025284,GRD284,FATHER,true,true,true
ADM2025285,GRD285,MOTHER,true,true,true
ADM2025286,GRD286,FATHER,true,true,true
ADM2025287,GRD287,FATHER,true,true,true
ADM2025288,GRD288,MOTHER,true,true,true
ADM2025289,GRD289,FATHER,true,true,true
ADM2025290,GRD290,FATHER,true,true,true
ADM2025291,GRD291,MOTHER,true,true,true
ADM2025292,GRD292,FATHER,true,true,true
ADM2025293,GRD293,FATHER,true,true,true
ADM2025294,GRD294,MOTHER,true,true,true
ADM2025295,GRD295,FATHER,true,true,true
ADM2025296,GRD296,FATHER,true,true,true
ADM2025297,GRD297,MOTHER,true,true,true
ADM2025298,GRD298,FATHER,true,true,true
ADM2025299,GRD299,FATHER,true,true,true
ADM2025300,GRD300,MOTHER,true,true,true
ADM2025301,GRD301,FATHER,true,true,true
ADM2025302,GRD302,FATHER,true,true,true
ADM2025303,GRD303,MOTHER,true,true,true
ADM2025304,GRD304,FATHER,true,true,true
ADM2025305,GRD305,FATHER,true,true,true
ADM2025306,GRD306,MOTHER,true,true,true
ADM2025307,GRD307,FATHER,true,true,true
ADM2025308,GRD308,FATHER,true,true,true
ADM2025309,GRD309,MOTHER,true,true,true
ADM2025310,GRD310,FATHER,true,true,true
ADM2025311,GRD311,FATHER,true,true,true
ADM2025312,GRD312,MOTHER,true,true,true
ADM2025313,GRD313,FATHER,true,true,true
ADM2025314,GRD314,FATHER,true,true,true
ADM2025315,GRD315,MOTHER,true,true,true
ADM2025316,GRD316,FATHER,true,true,true
ADM2025317,GRD317,FATHER,true,true,true
ADM2025318,GRD318,MOTHER,true,true,true
ADM2025319,GRD319,FATHER,true,true,true
ADM2025320,GRD320,FATHER,true,true,true
ADM2025321,GRD321,MOTHER,true,true,true
ADM2025322,GRD322,FATHER,true,true,true
ADM2025323,GRD323,FATHER,true,true,true
ADM2025324,GRD324,MOTHER,true,true,true
ADM2025325,GRD325,FATHER,true,true,true
ADM2025326,GRD326,FATHER,true,true,true
ADM2025327,GRD327,MOTHER,true,true,true
ADM2025328,GRD328,FATHER,true,true,true
ADM2025329,GRD329,FATHER,true,true,true
ADM2025330,GRD330,MOTHER,true,true,true
ADM2025331,GRD331,FATHER,true,true,true
ADM2025332,GRD332,FATHER,true,true,true
ADM2025333,GRD333,MOTHER,true,true,true
ADM2025334,GRD334,FATHER,true,true,true
ADM2025335,GRD335,FATHER,true,true,true
ADM2025336,GRD336,MOTHER,true,true,true
ADM2025337,GRD337,FATHER,true,true,true
ADM2025338,GRD338,FATHER,true,true,true
ADM2025339,GRD339,MOTHER,true,true,true
ADM2025340,GRD340,FATHER,true,true,true
ADM2025341,GRD341,FATHER,true,true,true
ADM2025342,GRD342,MOTHER,true,true,true
ADM2025343,GRD343,FATHER,true,true,true
ADM2025344,GRD344,FATHER,true,true,true
ADM2025345,GRD345,MOTHER,true,true,true
ADM2025346,GRD346,FATHER,true,true,true
ADM2025347,GRD347,FATHER,true,true,true
ADM2025348,GRD348,MOTHER,true,true,true
ADM2025349,GRD349,FATHER,true,true,true
ADM2025350,GRD350,FATHER,true,true,true
ADM2025351,GRD351,MOTHER,true,true,true
ADM2025352,GRD352,FATHER,true,true,true
ADM2025353,GRD353,FATHER,true,true,true
ADM2025354,GRD354,MOTHER,true,true,true
ADM2025355,GRD355,FATHER,true,true,true
ADM2025356,GRD356,FATHER,true,true,true
ADM2025357,GRD357,MOTHER,true,true,true
ADM2025358,GRD358,FATHER,true,true,true
ADM2025359,GRD359,FATHER,true,true,true
ADM2025360,GRD360,MOTHER,true,true,true
